Epoch,Index,Answer,Output,Error,Fact
1157,17,0,[0.34858165],[-0.34858165],Bad Fact
1157,18,1,[0.80101346],[0.19898654],Good Fact
1157,19,1,[0.80451661],[0.19548339],Good Fact
1157,20,1,[0.48958704],[0.51041296],Bad Fact
1157,21,1,[0.85290447],[0.14709553],Good Fact
1157,22,0,[0.30888663],[-0.30888663],Bad Fact
1157,23,0,[0.1258394],[-0.1258394],Good Fact
1157,24,1,[0.49668635],[0.50331365],Bad Fact
1157,25,0,[0.16379946],[-0.16379946],Good Fact
1157,26,1,[0.26409648],[0.73590352],Bad Fact
1158,1,0,[0.11788821],[-0.11788821],Good Fact
1158,2,0,[0.19864745],[-0.19864745],Good Fact
1158,3,1,[0.80129817],[0.19870183],Good Fact
1158,4,0,[0.19077802],[-0.19077802],Good Fact
1158,5,1,[0.79964842],[0.20035158],Bad Fact
1158,6,1,[0.83139206],[0.16860794],Good Fact
1158,7,0,[0.19538901],[-0.19538901],Good Fact
1158,8,0,[0.05410902],[-0.05410902],Good Fact
1158,9,0,[0.0427052],[-0.0427052],Good Fact
1158,10,1,[0.9473102],[0.0526898],Good Fact
1158,11,1,[0.49638246],[0.50361754],Bad Fact
1158,12,0,[0.03797117],[-0.03797117],Good Fact
1158,13,1,[0.83490251],[0.16509749],Good Fact
1158,14,0,[0.20171381],[-0.20171381],Bad Fact
1158,15,0,[0.19297423],[-0.19297423],Good Fact
1158,16,1,[0.85778666],[0.14221334],Good Fact
1158,17,0,[0.3596325],[-0.3596325],Bad Fact
1158,18,1,[0.80450073],[0.19549927],Good Fact
1158,19,1,[0.8075225],[0.1924775],Good Fact
1158,20,1,[0.48953153],[0.51046847],Bad Fact
1158,21,1,[0.86138306],[0.13861694],Good Fact
1158,22,0,[0.31693549],[-0.31693549],Bad Fact
1158,23,0,[0.1257287],[-0.1257287],Good Fact
1158,24,1,[0.49665417],[0.50334583],Bad Fact
1158,25,0,[0.16452098],[-0.16452098],Good Fact
1158,26,1,[0.27021642],[0.72978358],Bad Fact
1159,1,0,[0.11984856],[-0.11984856],Good Fact
1159,2,0,[0.19971213],[-0.19971213],Good Fact
1159,3,1,[0.80088088],[0.19911912],Good Fact
1159,4,0,[0.18105802],[-0.18105802],Good Fact
1159,5,1,[0.81028926],[0.18971074],Good Fact
1159,6,1,[0.82315519],[0.17684481],Good Fact
1159,7,0,[0.18572689],[-0.18572689],Good Fact
1159,8,0,[0.05225418],[-0.05225418],Good Fact
1159,9,0,[0.04200566],[-0.04200566],Good Fact
1159,10,1,[0.94521712],[0.05478288],Good Fact
1159,11,1,[0.49625444],[0.50374556],Bad Fact
1159,12,0,[0.0376586],[-0.0376586],Good Fact
1159,13,1,[0.818982],[0.181018],Good Fact
1159,14,0,[0.18651624],[-0.18651624],Good Fact
1159,15,0,[0.19287161],[-0.19287161],Good Fact
1159,16,1,[0.85603992],[0.14396008],Good Fact
1159,17,0,[0.35557226],[-0.35557226],Bad Fact
1159,18,1,[0.80237421],[0.19762579],Good Fact
1159,19,1,[0.80540955],[0.19459045],Good Fact
1159,20,1,[0.48955769],[0.51044231],Bad Fact
1159,21,1,[0.86012241],[0.13987759],Good Fact
1159,22,0,[0.31388133],[-0.31388133],Bad Fact
1159,23,0,[0.12544618],[-0.12544618],Good Fact
1159,24,1,[0.49667452],[0.50332548],Bad Fact
1159,25,0,[0.16481458],[-0.16481458],Good Fact
1159,26,1,[0.26799242],[0.73200758],Bad Fact
1160,1,0,[0.11927214],[-0.11927214],Good Fact
1160,2,0,[0.20060407],[-0.20060407],Bad Fact
1160,3,1,[0.79924086],[0.20075914],Bad Fact
1160,4,0,[0.19105237],[-0.19105237],Good Fact
1160,5,1,[0.82208078],[0.17791922],Good Fact
1160,6,1,[0.83890869],[0.16109131],Good Fact
1160,7,0,[0.19025348],[-0.19025348],Good Fact
1160,8,0,[0.05439557],[-0.05439557],Good Fact
1160,9,0,[0.04334329],[-0.04334329],Good Fact
1160,10,1,[0.94703343],[0.05296657],Good Fact
1160,11,1,[0.4962795],[0.5037205],Bad Fact
1160,12,0,[0.03900537],[-0.03900537],Good Fact
1160,13,1,[0.83929701],[0.16070299],Good Fact
1160,14,0,[0.19864143],[-0.19864143],Good Fact
1160,15,0,[0.19944262],[-0.19944262],Good Fact
1160,16,1,[0.8680866],[0.1319134],Good Fact
1160,17,0,[0.36909157],[-0.36909157],Bad Fact
1160,18,1,[0.80731381],[0.19268619],Good Fact
1160,19,1,[0.81060287],[0.18939713],Good Fact
1160,20,1,[0.48961356],[0.51038644],Bad Fact
1160,21,1,[0.86762125],[0.13237875],Good Fact
1160,22,0,[0.32405597],[-0.32405597],Bad Fact
1160,23,0,[0.13080182],[-0.13080182],Good Fact
1160,24,1,[0.49663664],[0.50336336],Bad Fact
1160,25,0,[0.16303677],[-0.16303677],Good Fact
1160,26,1,[0.27525613],[0.72474387],Bad Fact
1161,1,0,[0.12079153],[-0.12079153],Good Fact
1161,2,0,[0.19459046],[-0.19459046],Good Fact
1161,3,1,[0.81912798],[0.18087202],Good Fact
1161,4,0,[0.19072407],[-0.19072407],Good Fact
1161,5,1,[0.81817724],[0.18182276],Good Fact
1161,6,1,[0.83563875],[0.16436125],Good Fact
1161,7,0,[0.18977698],[-0.18977698],Good Fact
1161,8,0,[0.05390511],[-0.05390511],Good Fact
1161,9,0,[0.04294392],[-0.04294392],Good Fact
1161,10,1,[0.94599987],[0.05400013],Good Fact
1161,11,1,[0.49629868],[0.50370132],Bad Fact
1161,12,0,[0.03850346],[-0.03850346],Good Fact
1161,13,1,[0.8364047],[0.1635953],Good Fact
1161,14,0,[0.19790215],[-0.19790215],Good Fact
1161,15,0,[0.19891587],[-0.19891587],Good Fact
1161,16,1,[0.86523864],[0.13476136],Good Fact
1161,17,0,[0.36197838],[-0.36197838],Bad Fact
1161,18,1,[0.80390125],[0.19609875],Good Fact
1161,19,1,[0.80721617],[0.19278383],Good Fact
1161,20,1,[0.48963101],[0.51036899],Bad Fact
1161,21,1,[0.86547403],[0.13452597],Good Fact
1161,22,0,[0.31873016],[-0.31873016],Bad Fact
1161,23,0,[0.13010441],[-0.13010441],Good Fact
1161,24,1,[0.49665607],[0.50334393],Bad Fact
1161,25,0,[0.16310775],[-0.16310775],Good Fact
1161,26,1,[0.27136921],[0.72863079],Bad Fact
1162,1,0,[0.11974863],[-0.11974863],Good Fact
1162,2,0,[0.19549945],[-0.19549945],Good Fact
1162,3,1,[0.81648172],[0.18351828],Good Fact
1162,4,0,[0.19061833],[-0.19061833],Good Fact
